district,total_listings,entire_homes,month
1,38,25,A weekend in January
2,21,15,A weekend in January
3,17,12,A weekend in January
4,6,3,A weekend in January
5,154,104,A weekend in January
6,139,100,A weekend in January
7,247,198,A weekend in January
8,148,118,A weekend in January
9,72,51,A weekend in January
10,7,4,A weekend in January
11,36,21,A weekend in January
12,9,6,A weekend in January
13,78,69,A weekend in January
14,155,79,A weekend in January
15,26,13,A weekend in January
16,5,4,A weekend in January
17,4,3,A weekend in January
18,,,A weekend in January
19,6,3,A weekend in January
20,5,3,A weekend in January
21,7,5,A weekend in January
22,2,,A weekend in January
23,2,,A weekend in January
