szallashely_cime
1080
1
12
12
10
1
10
10
13
16
16
10
10
10
10
10
11
10
1
"1027 Budapest, Bem rakpart 33-34. , 14456"
"1023 Budapest, Frankel Leó út 35. , 14479/2"
"1026 Budapest, Júlia utca 8 , 11514/8"
"1021 Budapest, Széher út 3. , 11107/2"
"1027 Budapest, Ganz utca 15./2. , 13550/42/A/2"
"1024 Budapest, Retek utca 16. , 13129/0/A/2"
"1024 Budapest, Lövőház utca 29. 2. emelet 2. , 13215/16/A/12"
"1022 Budapest, Bimbó út 25/B. , 12893"
"1027 Budapest, Szász Károly utca 5. 2. emelet 8., 13671/0/A/26"
"1027 Budapest, Margit körút 28-32 I. em. 2. ajtó, 135235/0/A/5"
"1024 Budapest, Buday László utca 9. III./14., 3355/0/A/17"
"1027 Budapest, Fő utca 77. fsz. 12., 14470/0/A/11"
"1024 Budapest, Káplár utca 4.  B. ép. C. lph. 5. em. 17., 13090/0/B/47"
"1023 Budapest, Vérhalom utca 10. I. em. 6., 13025/4/A/6"
"1027 Budapest, Fő utca 62-64 2. em. 3., 13871/4/A/15"
"1024 Budapest, Keleti Károly utca 11/A. , 13295/10/A/1"
"1024 Budapest, Margit körút 15-19.  3. emelet 5. ajtó, 13384/0/A/30"
"1029 Budapest, Ördögárok utca 174. , 51387"
"1027 Budapest, Margit körút 58.  4. em. 8., 13687/45"
"1027 Budapest, Kapás utca 14-16 II./11, 13743/0/A/11"
"1024 Budapest, Széll Kálmán tér 3. 2. emelet 3., 13127/0/A/21"
"1024 Budapest, Fillér utca 13-15. 6. emelet 4. ajtó, 13160/0/A/52"
"1027 Budapest, Bem rakpart 32. 7. emelet 1. ajtó, 14455/2/A/15"
"1024 Budapest, Fényes Elek utca 5. 2. em. 1. ajtó, 13275/0/A/6"
"1024 Budapest, Margit körút 29 A ép. 7. em. 2. a., 13370/0/A/33"
"1024 Budapest, Keleti Károly utca 4. fszt. 2., 13287/0/A/5"
"1027 Budapest, Vitéz utca 13. fszt. 2., 13806/2/A/3"
"1026 Budapest, Pasaréti út 21. fszt. 3., 12033/6/A/3"
"1023 Budapest, Levél utca 3. A. épület 1. em. 1. ajtó, 12972/0/A/3"
"1027 Budapest, Erőd utca 2. fszt. 1., 13723/4/A/14"
"1024 Budapest, Lövőház utca 33. 3. emelet 2., 13215/14/A/19"
"1024 Budapest, Fényes Elek utca 3. Mfsz. 1., 13276/0/A/5"
"1024 Budapest, Lövőház utca 16/B. 3. emelet 31. ajtó., 13179/0/A/35"
"1024 Budapest, Kis Rókus utca 37. 3.em. 15. a., 13235/6/A/15"
"1024 Budapest, Buday László utca 8/A. 1. e. 2/A. , 13304/1/A/6"
"1025 Budapest, Törökvész út 76. A, 12525/2"
"1024 Budapest, Keleti Károly utca 9. 1. emelet 16. 17., 13295/11/A/18, 13295/11/A/19"
"1027 Budapest, Varsányi Irén utca 38. 2. em. 4. a., 13715/3/A/18"
"1025 Budapest, Zsindely utca 20. , 15495/3"
"1024 Budapest, Keleti Károly utca 13/A. 2. emelet 6. ajtó, 13295/9/A/10"
"1027 Budapest, Frankel Leó út 9. 3. emelet 21. ajtó, 13490/0/A/41"
"1024 Budapest, Margit körút 51-53. 6. emelet 1., 13284/0/A/38"
"1025 Budapest, Kavics utca 8/E. , 14540"
"1024 Budapest, Lövőház utca 33. 1. emelet 2/A., 13215/14/A/11"
"1027 Budapest, Frankel Leó út 8. 7. emelet 22., 13502/0/A/22"
"1027 Budapest, Fő utca 61. 8. em. 4., 14461/0/A/49"
"1024 Budapest, Lövőház utca 29. földszint 1. ajtó, 13215/16/A/5"
