page,price,location,alapterulet,szobak,erkely
1,330 000 Ft/hó,"Budapest XIII. kerület, Jász utca 83-87.",52 m2,1 + 2 fél,28 m2
1,,,,,
1,,,,,
1,450 000 Ft/hó,"Budapest I. kerület, Attila út 18.",89 m2,3 + 1 fél,4 m2
1,190 000 Ft/hó,"Budapest VI. kerület, Izabella utca 75.",22 m2,1,
1,370 000 Ft/hó,"Budapest XIII. kerület, Lőportár köz 6.",60 m2,2 + 1 fél,5 m2
1,300 000 Ft/hó,"Budapest XIII. kerület, Petneházy utca 50-52.",31 m2,1,
1,490 000 Ft/hó,"Budapest XIII. kerület, Petneházy utca",80 m2,4,8 m2
1,450 000 Ft/hó,"Budapest VIII. kerület, Corvin sétány 7.",69 m2,2 + 1 fél,10 m2
1,490 000 Ft/hó,"Budapest XIII. kerület, Petneházy utca",80 m2,4,8 m2
1,495 000 Ft/hó,"Budapest XIII. kerület, Fáy utca 15.",93 m2,4,14 m2
1,220 000 Ft/hó,"Budapest XI. kerület, Regős utca",54 m2,2,4 m2
1,230 000 Ft/hó,"Budapest IX. kerület, Középső-Ferencváros - Rehabilitációs terület",54 m2,2,
1,260 000 Ft/hó,"Budapest VIII. kerület, II. János Pál pápa tér 6.",52 m2,1 + 1 fél,
1,220 000 Ft/hó,"Budapest VII. kerület, Izabella utca",54 m2,1,15 m2
1,160 000 Ft/hó,"Budapest VIII. kerület, Orczy út 46-48.",22 m2,1,
1,452 093 Ft/hó,"Budapest IX. kerület, Ferenc körút",106 m2,3,
1,220 000 Ft/hó,"Budapest IX. kerület, Telepy utca",40 m2,1,3 m2
1,220 000 Ft/hó,"Budapest VI. kerület, Király utca",34 m2,1,3 m2
1,400 000 Ft/hó,"Budapest XIII. kerület, Fáy utca 15.",78 m2,3,8 m2
1,199 000 Ft/hó,"Budapest VIII. kerület, Szerdahelyi utca",35 m2,1,
1,380 000 Ft/hó,"Budapest VII. kerület, Péterfy Sándor utca 9.",78 m2,2 + 1 fél,4 m2
2,550 000 Ft/hó,"Budapest V. kerület, Honvéd tér",83 m2,3,3 m2
2,500 000 Ft/hó,"Budapest V. kerület, Petőfi Sándor utca 12.",120 m2,3,4 m2
2,250 000 Ft/hó,"Budapest XIV. kerület, Egressy út 27-29.",33 m2,1,4 m2
2,220 000 Ft/hó,"Budapest VII. kerület, Verseny utca 10.",40 m2,1,
2,245 000 Ft/hó,"Budapest II. kerület, Keleti Károly utca",34 m2,2,3 m2
2,250 000 Ft/hó,"Budapest XIII. kerület, Kerekes utca",51 m2,2,
2,290 000 Ft/hó,"Budapest IX. kerület, Kinizsi utca",61 m2,2,
2,220 000 Ft/hó,"Budapest IX. kerület, Telepy utca 32.",40 m2,1,3 m2
2,270 000 Ft/hó,"Budapest XIII. kerület, Jász utca 59.",60 m2,3,2 m2
2,350 000 Ft/hó,"Budapest X. kerület, Somfa utca",62 m2,2 + 1 fél,9 m2
2,260 000 Ft/hó,"Budapest XI. kerület, Fehérvári út",36 m2,1,9 m2
2,165 000 Ft/hó,"Budapest XIV. kerület, Stefánia út",39 m2,1,5 m2
2,370 000 Ft/hó,"Budapest XII. kerület, Alkotás utca 23-25/C",62 m2,3,6 m2
2,600 000 Ft/hó,"Budapest II. kerület, Eszter utca 20.",92 m2,3 + 1 fél,64 m2
2,345 000 Ft/hó,"Budapest IX. kerület, Lónyay utca 38.",55 m2,2,50 m2
2,269 000 Ft/hó,"Budapest XIII. kerület, Karikás Frigyes utca 6/B",45 m2,1 + 1 fél,
2,800 000 Ft/hó,"Budapest XII. kerület, Maros utca",120 m2,4,3 m2
2,185 000 Ft/hó,"Budapest XIII. kerület, Garam utca",39 m2,1 + 1 fél,
2,315 000 Ft/hó,"Budapest II. kerület, Bimbó út 116-118 B.",59 m2,2 + 1 fél,4 m2
2,380 000 Ft/hó,"Budapest XIV. kerület, Semsey Andor utca",83 m2,3,
3,350 000 Ft/hó,"Budapest II. kerület, Ferenchegyi út 37.",65 m2,2,30 m2
3,250 000 Ft/hó,"Budapest IX. kerület, Vágóhíd utca 3.",36 m2,1,7 m2
3,350 000 Ft/hó,"Budapest XII. kerület, Kálló esperes utca",76 m2,2,12 m2
3,360 000 Ft/hó,"Budapest III. kerület, Árpád fejedelem útja 63.",62 m2,2,4 m2
3,299 990 Ft/hó,"Budapest XII. kerület, Hajnóczy József utca 2.",47 m2,2,
3,292 000 Ft/hó,"Budapest XIII. kerület, Fáy utca 15.",47 m2,2,12 m2
3,375 000 Ft/hó,"Budapest XIII. kerület, Fáy utca 15.",66 m2,3,12 m2
3,400 000 Ft/hó,"Budapest XI. kerület, Garda utca",45 m2,2,10 m2
3,590 000 Ft/hó,"Budapest XI. kerület, Mohai út 32.",89 m2,4,11 m2
3,628 000 Ft/hó,"Budapest XI. kerület, Bíró László József körút 6.",65 m2,3,20 m2
3,327 046 Ft/hó,"Budapest VII. kerület, Károly körút",74 m2,2,
3,1 019 614 Ft/hó,"Budapest VI. kerület, Andrássy út 20.",114 m2,4,
3,550 000 Ft/hó,"Budapest XIII. kerület, Balzac utca",76 m2,3,5 m2
3,230 000 Ft/hó,"Budapest I. kerület, Fő utca",35 m2,1 + 1 fél,4 m2
3,379 000 Ft/hó,"Budapest VI. kerület, Király utca",78 m2,3,
3,220 000 Ft/hó,"Budapest VI. kerület, Ó utca",35 m2,1 + 1 fél,
3,440 000 Ft/hó,"Budapest V. kerület, Hold utca",112 m2,4,5 m2
3,1 269 708 Ft/hó,"Budapest VI. kerület, Bajza utca 54.",200 m2,5,
3,1 096 566 Ft/hó,"Budapest II. kerület, Zöldkő utca 2.",130 m2,4 + 1 fél,33 m2
3,395 000 Ft/hó,"Budapest VIII. kerület, Illés utca 6.",74 m2,3,12 m2
4,350 000 Ft/hó,"Budapest VI. kerület, Vörösmarty utca 46.",90 m2,3,
4,380 000 Ft/hó,"Budapest XII. kerület, Győri út",75 m2,3,6 m2
4,750 000 Ft/hó,"Budapest II. kerület, Szépvölgyi út",95 m2,3,200 m2
4,199 000 Ft/hó,"Budapest VI. kerület, Csengery utca 76.",27 m2,1,
4,285 000 Ft/hó,"Budapest XI. kerület, Budafoki út 64.",45 m2,2,9 m2
4,790 000 Ft/hó,"Budapest VI. kerület, Ó utca",93 m2,4,
4,285 000 Ft/hó,"Budapest I. kerület, Batthyány utca",48 m2,2,4.4 m2
4,330 000 Ft/hó,"Budapest IX. kerület, Vágóhíd utca 1.",52 m2,2,8 m2
4,350 000 Ft/hó,"Budapest II. kerület, Zöldlomb utca",68 m2,3,
4,307 000 Ft/hó,"Budapest XIII. kerület, Fáy utca 15.",51 m2,2,6 m2
4,615 616 Ft/hó,"Budapest XIII. kerület, Pannónia utca 12.",104 m2,3,2 m2
4,230 000 Ft/hó,"Budapest III. kerület, Zsirai Miklós utca",51 m2,3,3 m2
4,220 000 Ft/hó,"Budapest VI. kerület, Ó utca",36 m2,2,
4,1 231 232 Ft/hó,"Budapest III. kerület, Perényi út",120 m2,4,30 m2
4,270 000 Ft/hó,"Budapest IX. kerület, Thaly Kálmán utca 26.",40 m2,2,5 m2
4,390 000 Ft/hó,"Budapest XIII. kerület, Fáy utca 15.",78 m2,3,8 m2
4,320 000 Ft/hó,"Budapest XIII. kerület, Vizafogó - Marinapart",54 m2,2,10 m2
4,420 000 Ft/hó,"Budapest III. kerület, Szőlő utca",75 m2,3,17 m2
4,230 000 Ft/hó,"Budapest III. kerület, Hollós Korvin Lajos utca",57 m2,3,1 m2
4,1 280 000 Ft/hó,"Budapest III. kerület, Perényi út",120 m2,4,25 m2
5,220 000 Ft/hó,"Budapest VI. kerület, Aradi utca",40 m2,1 + 1 fél,
5,185 000 Ft/hó,"Budapest IV. kerület, Erzsébet utca",35 m2,1 + 1 fél,
5,330 000 Ft/hó,"Budapest IX. kerület, Ferenc körút",73 m2,2,
5,365 522 Ft/hó,"Budapest XIII. kerület, Petneházy utca 37-47.",66 m2,3,5 m2
5,265 000 Ft/hó,"Budapest IX. kerület, Bokréta utca",45 m2,2,5 m2
5,295 000 Ft/hó,"Budapest V. kerület, Váci utca",40 m2,1,2 m2
5,370 000 Ft/hó,"Budapest XIII. kerület, Danubius utca",76 m2,3,15 m2
5,160 000 Ft/hó,"Budapest XIV. kerület, Róna utca",30 m2,1,
5,170 000 Ft/hó,"Budapest IX. kerület, Epreserdő utca",27 m2,1,
5,240 000 Ft/hó,"Budapest XIV. kerület, Istvánmezei út",46 m2,1 + 1 fél,3 m2
5,260 000 Ft/hó,"Budapest XIV. kerület, Istvánmezei út",46 m2,2,3.5 m2
5,355 000 Ft/hó,"Budapest XII. kerület, Csorna utca",59 m2,3,8 m2
5,250 000 Ft/hó,"Budapest VI. kerület, Nagymező utca",74 m2,1 + 1 fél,
5,247 500 Ft/hó,"Budapest IX. kerület, Nádasdy utca 5-9.",37 m2,2,
5,190 000 Ft/hó,"Budapest XIV. kerület, Örs vezér tere",40 m2,2,
5,250 000 Ft/hó,"Budapest XI. kerület, Fehérvári út",44 m2,2,3 m2
5,249 000 Ft/hó,"Budapest XIII. kerület, Kassák Lajos utca",31 m2,1,4 m2
5,450 000 Ft/hó,"Budapest XIII. kerület, Katona József utca",110 m2,3,2 m2
5,692 568 Ft/hó,"Budapest VIII. kerület, Corvin sétány 6.",73 m2,3,30 m2
5,490 000 Ft/hó,"Budapest VIII. kerület, Corvin sétány 2.",70 m2,3,11 m2
6,224 900 Ft/hó,"Budapest XIII. kerület, Gogol utca",33 m2,2,
6,692 568 Ft/hó,"Budapest VI. kerület, Jókai tér 8.",83 m2,4,
6,440 000 Ft/hó,"Budapest V. kerület, Régi posta utca",33 m2,1 + 1 fél,
6,220 000 Ft/hó,"Budapest XIII. kerület, Fáy utca 15.",30 m2,1,6 m2
6,330 000 Ft/hó,"Budapest XI. kerület, Rupphegyi út 5.",45 m2,2,10 m2
6,250 000 Ft/hó,"Budapest VIII. kerület, Kis Fuvaros utca",36 m2,1,4 m2
6,230 000 Ft/hó,"Budapest XIII. kerület, Csángó utca",43 m2,2,2 m2
6,399 000 Ft/hó,"Budapest XI. kerület, Beregszász út",72 m2,3,5 m2
6,439 000 Ft/hó,"Budapest XVII. kerület, Borsó utca",116 m2,4,128 m2
6,300 000 Ft/hó,"Budapest VI. kerület, Belső-Terézváros",56 m2,3,4 m2
6,210 000 Ft/hó,"Budapest XIII. kerület, Hegedűs Gyula utca",30 m2,1 + 1 fél,
6,230 000 Ft/hó,"Budapest XI. kerület, Regős utca",56 m2,1 + 2 fél,2 m2
6,518 000 Ft/hó,"Budapest XII. kerület, Széchenyihegy",95 m2,4,10 m2
